time,surv,surv_lower,surv_upper
0.000570776255708,1.0,,
0.000684931506849,1.0,,
0.000799086757991,1.0,,
0.000913242009132,1.0,,
0.00102739726027,1.0,,
0.00114155251142,1.0,,
0.00125570776256,1.0,,
0.0013698630137,1.0,,
0.00148401826484,1.0,,
0.00159817351598,1.0,,
0.00171232876712,1.0,,
0.00319634703196,1.0,,
0.00331050228311,1.0,,
0.00342465753425,1.0,,
0.00353881278539,1.0,,
0.00365296803653,1.0,,
0.00376712328767,1.0,,
0.00388127853881,1.0,,
0.00399543378995,1.0,,
0.0041095890411,1.0,,
0.00422374429224,1.0,,
0.0060502283105,1.0,,
0.00616438356164,1.0,,
0.00627853881279,1.0,,
0.00639269406393,1.0,,
0.00662100456621,1.0,,
0.00673515981735,1.0,,
0.0087899543379,1.0,,
0.00890410958904,1.0,,
0.00901826484018,1.0,,
0.00913242009132,1.0,,
0.00924657534247,1.0,,
0.00936073059361,1.0,,
0.00958904109589,1.0,,
0.0116438356164,1.0,,
0.0117579908676,0.999807766244,0.999972930713,0.998635531119
0.0118721461187,0.999807766244,0.999972930713,0.998635531119
0.0119863013699,0.999807766244,0.999972930713,0.998635531119
0.012100456621,0.999807766244,0.999972930713,0.998635531119
0.0122146118721,0.999807766244,0.999972930713,0.998635531119
0.0123287671233,0.999807766244,0.999972930713,0.998635531119
0.0142694063927,0.999625052836,0.99990628355,0.998500518824
0.0143835616438,0.999625052836,0.99990628355,0.998500518824
0.014497716895,0.999625052836,0.99990628355,0.998500518824
0.0146118721461,0.999625052836,0.99990628355,0.998500518824
0.0147260273973,0.999625052836,0.99990628355,0.998500518824
0.0148401826484,0.999625052836,0.99990628355,0.998500518824
0.0149543378995,0.999625052836,0.99990628355,0.998500518824
0.0150684931507,0.999625052836,0.99990628355,0.998500518824
0.0171232876712,0.999625052836,0.99990628355,0.998500518824
0.0172374429224,0.999625052836,0.99990628355,0.998500518824
0.0173515981735,0.999313303249,0.999743379764,0.998163112793
0.0174657534247,0.999313303249,0.999743379764,0.998163112793
0.0199771689498,0.999313303249,0.999743379764,0.998163112793
0.0200913242009,0.999313303249,0.999743379764,0.998163112793
0.0202054794521,0.999313303249,0.999743379764,0.998163112793
0.0283105022831,0.999161293315,0.999652347064,0.997977336713
0.0308219178082,0.999009283381,0.999556548006,0.997787386766
0.0337899543379,0.998857273448,0.999456976743,0.997596067607
0.0385844748858,0.998857273448,0.999456976743,0.997596067607
0.038698630137,0.998857273448,0.999456976743,0.997596067607
0.0550228310502,0.998857273448,0.999456976743,0.997596067607
0.0601598173516,0.998706228949,0.999354824528,0.99740644619
0.0666666666667,0.998555184449,0.999250117466,0.997217138764
0.0695205479452,0.99840413995,0.999143225047,0.997028442081
0.0722602739726,0.998253095451,0.999034434387,0.996840494994
0.116095890411,0.998102050952,0.99892397403,0.996653354006
0.154223744292,0.997951006452,0.998812029531,0.996467031499
0.165182648402,0.997799961953,0.99869875407,0.996281516039
0.184703196347,0.997648917454,0.998584275895,0.996096783549
0.189611872146,0.997497872955,0.998468703692,0.995912803614
0.192694063927,0.997346828455,0.998352130547,0.995729543095
0.206506849315,0.997044739457,0.998116292984,0.995365045746
0.217808219178,0.996893694958,0.997997160288,0.995183743659
0.230707762557,0.996742650459,0.997877293272,0.995003031482
0.236643835616,0.996591605959,0.997756740325,0.994822880436
0.250342465753,0.99644056146,0.997635544705,0.994643263483
0.25799086758,0.996289516961,0.997513745267,0.99446415529
0.258333333333,0.996138472462,0.997391377072,0.994285532163
0.266324200913,0.995987427962,0.997268471889,0.994107371958
0.269406392694,0.995836383463,0.997145058612,0.993929653984
0.269748858447,0.995685338964,0.997021163612,0.993752358905
0.277625570776,0.995534294465,0.99689681104,0.993575468637
0.288812785388,0.995534294465,0.99689681104,0.993575468637
0.29703196347,0.995383318684,0.996772071502,0.993399063716
0.301940639269,0.995232342904,0.996646917542,0.993223029766
0.302739726027,0.995081367124,0.996521367999,0.99304735201
0.347374429224,0.995081367124,0.996521367999,0.99304735201
0.347488584475,0.995081367124,0.996521367999,0.99304735201
0.349086757991,0.995081367124,0.996521367999,0.99304735201
0.351826484018,0.994930505789,0.996395522255,0.992872176316
0.365410958904,0.994779644454,0.996269315349,0.992697328375
0.370662100457,0.994628783118,0.996142762292,0.992522796028
0.379452054795,0.994477921783,0.996015877077,0.992348567822
0.384589041096,0.994327060448,0.995888672771,0.992174632954
0.406392694064,0.994327060448,0.995888672771,0.992174632954
0.406506849315,0.994327060448,0.995888672771,0.992174632954
0.417808219178,0.994327060448,0.995888672771,0.992174632954
0.417922374429,0.994327060448,0.995888672771,0.992174632954
0.419292237443,0.994327060448,0.995888672771,0.992174632954
0.419406392694,0.994327060448,0.995888672771,0.992174632954
0.419520547945,0.994327060448,0.995888672771,0.992174632954
0.419634703196,0.994327060448,0.995888672771,0.992174632954
0.42203196347,0.994327060448,0.995888672771,0.992174632954
0.422831050228,0.994180296306,0.995764173294,0.992006551371
0.422945205479,0.994180296306,0.995764173294,0.992006551371
0.423059360731,0.994180296306,0.995764173294,0.992006551371
0.423173515982,0.994180296306,0.995764173294,0.992006551371
0.423287671233,0.994180296306,0.995764173294,0.992006551371
0.427739726027,0.994180296306,0.995764173294,0.992006551371
0.427853881279,0.994180296306,0.995764173294,0.992006551371
0.42796803653,0.994180296306,0.995764173294,0.992006551371
0.428082191781,0.994180296306,0.995764173294,0.992006551371
0.428196347032,0.994180296306,0.995764173294,0.992006551371
0.428310502283,0.994180296306,0.995764173294,0.992006551371
