,model,size,count,obs_days,drive_hours,failures,failure_rate,percent_total,manufacturer
0,HDS5C4040ALE630,4.000787030016,6.0,507.0,12172.0,0.0,0.0,0.0001365343042439413,HGST
1,HDS724040ALE640,4.000787030016,42.0,3822.0,91774.0,0.0,0.0,0.000955740129707589,HGST
2,HMS5C4040ALE640,15.67425094341863,7152.0,609093.0,14621288.0,20.0,1.198252848859827,0.162748890658778,HGST
3,HMS5C4040BLE640,4.000787030016,3106.0,271621.0,6514858.0,3.0,0.40338561485146723,0.0706792581636136,HGST
4,HDS5C3030ALA630,3.000592982016206,4605.0,417935.0,10034981.0,9.0,0.7856517117471373,0.10479007850722494,Hitachi
5,HDS5C3030BLE630,3.0005929820159998,1.0,91.0,2186.0,0.0,0.0,2.2755717373990216e-05,Hitachi
6,HDS5C4040ALE630,4.000787030016,2655.0,234351.0,5627099.0,11.0,1.712427664770071,0.060416429627944024,Hitachi
7,HDS722020ALA330,2.000398934015989,4700.0,423617.0,10170732.0,14.0,1.2058129149406356,0.10695187165775401,Hitachi
8,HDS723020BLA642,2.0003989340160024,10.0,847.0,20339.0,1.0,43.069964108363244,0.00022755717373990216,Hitachi
9,HDS723030ALA640,3.000592982015976,1024.0,92732.0,2226140.0,8.0,3.148049987871383,0.02330185459096598,Hitachi
10,HDS723030BLE640,3.0005929820159993,8.0,728.0,17453.0,0.0,0.0,0.00018204573899192173,Hitachi
11,HDS724040ALE640,4.000787030016,1.0,55.0,1321.0,0.0,0.0,2.2755717373990216e-05,Hitachi
12,HDT721010SLA360,1.000204886016,1.0,22.0,529.0,0.0,0.0,2.2755717373990216e-05,Hitachi
13,HDT725025VLA380,0.25,1.0,91.0,2186.0,0.0,0.0,2.2755717373990216e-05,Hitachi
14,HD154UI,1.5003019100160018,3.0,243.0,5835.0,0.0,0.0,6.826715212197065e-05,Samsung
15,ST1500DL001,1.500301910016002,2.0,182.0,4369.0,0.0,0.0,4.551143474798043e-05,Seagate
16,ST1500DL003,1.5003019100160007,38.0,2862.0,67570.0,10.0,129.64333284001776,0.0008647172602116282,Seagate
17,ST1500DM003,1.5003019100160018,3.0,273.0,6562.0,0.0,0.0,6.826715212197065e-05,Seagate
