,model,size,count,obs_days,drive_hours,failures,failure_rate,percent_total,manufacturer
0,HDS5C4040ALE630,4.000787030016,51.0,4091.0,98184.0,1.0,8.92202395502322,0.0009919284255567441,HGST
1,HDS724040ALE640,4.000787030016,40.0,3640.0,87351.0,0.0,0.0,0.0007779830788680346,HGST
2,HMS5C4040ALE640,4.0007870300167685,7096.0,645508.0,15492861.0,4.0,0.2261686850479069,0.13801419819118935,HGST
3,HMS5C4040BLE640,4.000787030016,3096.0,281433.0,6754467.0,4.0,0.5187678021078496,0.06021589030438588,HGST
4,HUH728080ALE600,8.00156322201599,45.0,4095.0,98264.0,0.0,0.0,0.000875230963726539,HGST
5,HDS5C3030ALA630,3.000592982016205,4577.0,415834.0,9979715.0,17.0,1.4922269824338672,0.08902071379947486,Hitachi
6,HDS5C3030BLE630,3.0005929820159993,1.0,91.0,2179.0,0.0,0.0,1.9449576971700864e-05,Hitachi
7,HDS5C4040ALE630,4.000787030016,2648.0,240758.0,5778275.0,5.0,0.7580116903401102,0.051502479821063894,Hitachi
8,HDS722020ALA330,2.0003989340159762,4609.0,418529.0,10044299.0,22.0,1.918700349322536,0.08964310026256929,Hitachi
9,HDS723020BLA642,2.000398934016003,8.0,728.0,17474.0,0.0,0.0,0.00015559661577360692,Hitachi
10,HDS723030ALA640,3.000592982015978,1006.0,91414.0,2194016.0,4.0,1.5970713066814461,0.01956627443353107,Hitachi
11,HDS723030BLE640,3.0005929820159993,10.0,875.0,21000.0,1.0,41.714285714285715,0.00019449576971700865,Hitachi
12,HDS724040ALE640,4.000787030016,3.0,273.0,6553.0,0.0,0.0,5.8348730915102597e-05,Hitachi
13,HDT725025VLA380,0.25,1.0,91.0,2185.0,0.0,0.0,1.9449576971700864e-05,Hitachi
14,HD154UI,1.500301910016002,1.0,91.0,2184.0,0.0,0.0,1.9449576971700864e-05,Samsung
15,ST1500DL003,1.5003019100160004,3.0,136.0,3265.0,1.0,268.30015313935684,5.8348730915102597e-05,Seagate
16,ST1500DM003,1.500301910016002,1.0,91.0,2185.0,0.0,0.0,1.9449576971700864e-05,Seagate
17,ST2000VN000,2.000398934016002,4.0,273.0,6552.0,0.0,0.0,7.779830788680346e-05,Seagate
18,ST250LM004 HN,0.2500593500159999,37.0,3238.0,60277.0,2.0,29.06581283076464,0.000719634347952932,Seagate
19,ST250LT007,0.25005935001599994,4.0,296.0,7187.0,1.0,121.88673994712676,7.779830788680346e-05,Seagate
