,model,size,count,obs_days,drive_hours,failures,failure_rate,percent_total,manufacturer
47,WD1600BPVT,0.16004188569599995,3.0,117.0,2803.0,0.0,0.0,9.147178095557521e-05,Western Digital
48,WD2500AAJB,0.25005935001600027,2.0,90.0,2154.0,0.0,0.0,6.0981187303716805e-05,Western Digital
49,WD2500AAJS,0.25005935001600027,2.0,90.0,2156.0,0.0,0.0,6.0981187303716805e-05,Western Digital
50,WD2500BEVT,0.25005935001600027,1.0,45.0,1035.0,0.0,0.0,3.0490593651858403e-05,Western Digital
51,WD2500BPVT,0.2500593500160002,9.0,386.0,9243.0,0.0,0.0,0.0002744153428667256,Western Digital
52,WD2500JB,0.25005935001600027,1.0,38.0,909.0,1.0,963.6963696369637,3.0490593651858403e-05,Western Digital
53,WD30EFRX,3.000592982016026,593.0,39856.0,953408.0,15.0,13.782137343089213,0.018080922035552033,Western Digital
54,WD30EZRS,3.0005929820160016,15.0,663.0,15853.0,1.0,55.257679934397274,0.00045735890477787604,Western Digital
55,WD30EZRX,3.0005929820159962,399.0,24602.0,595083.0,8.0,11.776508487051387,0.012165746867091503,Western Digital
56,WD3200AAJB,0.3200729333760001,3.0,135.0,3233.0,0.0,0.0,9.147178095557521e-05,Western Digital
57,WD3200AAJS,0.3200729333760001,5.0,232.0,5554.0,0.0,0.0,0.000152452968259292,Western Digital
58,WD3200AAKS,0.3200729333760001,1.0,45.0,1068.0,0.0,0.0,3.0490593651858403e-05,Western Digital
59,WD3200BEKT,0.3200729333760001,1.0,45.0,1075.0,0.0,0.0,3.0490593651858403e-05,Western Digital
60,WD3200LPVX,0.3200729333760001,2.0,122.0,2921.0,0.0,0.0,6.0981187303716805e-05,Western Digital
61,WD40EFRX,4.000787030016,45.0,1125.0,26902.0,0.0,0.0,0.0013720767143336281,Western Digital
62,WD5000AAJS,0.5001078620160004,1.0,45.0,1077.0,0.0,0.0,3.0490593651858403e-05,Western Digital
63,WD5000BPKT,0.5001078620160003,24.0,1080.0,25855.0,0.0,0.0,0.0007317742476446017,Western Digital
64,WD5000LPVX,0.5001078620160001,38.0,629.0,15067.0,0.0,0.0,0.0011586425587706193,Western Digital
65,WD5002ABYS,0.5001078620160003,5.0,198.0,4741.0,0.0,0.0,0.000152452968259292,Western Digital
66,WD5003ABYX,0.5001078620160004,1.0,45.0,1080.0,0.0,0.0,3.0490593651858403e-05,Western Digital
67,WD800AAJB,0.080026361856,23.0,1030.0,24153.0,0.0,0.0,0.0007012836539927432,Western Digital
68,WD800AAJS,0.080026361856,30.0,1342.0,32110.0,0.0,0.0,0.0009147178095557521,Western Digital
69,WD800BB,0.08002636185600005,56.0,2480.0,59299.0,0.0,0.0,0.0017074732445040706,Western Digital
70,WD800JB,0.080026361856,19.0,833.0,19953.0,0.0,0.0,0.0005793212793853096,Western Digital
71,WD800JD,0.080026361856,1.0,45.0,1074.0,0.0,0.0,3.0490593651858403e-05,Western Digital
72,WD800LB,0.080026361856,2.0,90.0,2153.0,0.0,0.0,6.0981187303716805e-05,Western Digital
