model,size_tb,drive_count,days_observed,days_elapsed,runtime_total,runtime_elapsed,failure_rate,percent_total,failures
WDC WD10EADS,1.00020488602,535.0,168368.0,-35058 days +00:25:26.290448384,23353218.0,3848838.0,4.09682091062,0.0111941079238,18.0
WDC WD10EADX,1.00020488602,29.0,8385.0,8547 days 00:00:00.000000000,383920.0,197747.0,4.42990285567,0.000606783420166,1.0
WDC WD10EALS,1.00020488602,1.0,296.0,295 days 00:00:00.000000000,27499.0,6945.0,0.0,2.09235662126e-05,0.0
WDC WD10EARS,1.00020488602,5.0,1591.0,1613 days 00:00:00.000000000,134166.0,34566.0,0.0,0.000104617831063,0.0
WDC WD10EARX,1.00020488602,3.0,1089.0,1092 days 00:00:00.000000000,60532.0,26050.0,0.0,6.27706986379e-05,0.0
WDC WD15EARS,1.50030191002,2.0,407.0,406 days 00:00:00.000000000,55239.0,9677.0,0.0,4.18471324253e-05,0.0
WDC WD1600AAJB,0.160041885696,9.0,2659.0,2678 days 00:00:00.000000000,218612.0,63708.0,13.7502354492,0.000188312095914,1.0
WDC WD1600AAJS,0.160041885696,122.0,32297.0,32647 days 00:00:00.000000000,2640730.0,779751.0,5.61717779137,0.00255267507794,5.0
WDC WD1600BPVT,0.160041885696,4.0,917.0,916 days 00:00:00.000000000,30197.0,21961.0,79.7777878967,8.36942648505e-05,2.0
WDC WD20EFRX,2.00039893402,31.0,3212.0,3230 days 00:00:00.000000000,77361.0,77031.0,22.7440900417,0.000648630552591,2.0
WDC WD2500AAJB,0.250059350016,2.0,599.0,599 days 00:00:00.000000000,27960.0,13157.0,66.5805274759,4.18471324253e-05,1.0
WDC WD2500AAJS,0.250059350016,3.0,758.0,841 days 00:00:00.000000000,33449.0,20164.0,0.0,6.27706986379e-05,0.0
WDC WD2500BEVT,0.250059350016,1.0,316.0,320 days 00:00:00.000000000,10318.0,7564.0,0.0,2.09235662126e-05,0.0
WDC WD2500BPVT,0.250059350016,9.0,2840.0,2849 days 00:00:00.000000000,127225.0,68297.0,12.8263320497,0.000188312095914,1.0
WDC WD2500JB,0.250059350016,1.0,39.0,38 days 00:00:00.000000000,7502.0,908.0,964.757709251,2.09235662126e-05,1.0
WDC WD30EFRX,3.00059298202,1050.0,231556.0,56785 days 00:25:26.290448384,7350262.0,5922571.0,6.50798445472,0.0219697445233,44.0
WDC WD30EZRS,3.00059298202,15.0,690.0,677 days 00:00:00.000000000,216230.0,16186.0,54.1208451748,0.000313853493189,1.0
WDC WD30EZRX,3.00059298202,400.0,25330.0,25019 days 00:00:00.000000000,6346930.0,605052.0,11.5824755558,0.00836942648505,8.0
WDC WD3200AAJB,0.320072933376,3.0,957.0,960 days 00:00:00.000000000,56510.0,22996.0,0.0,6.27706986379e-05,0.0
WDC WD3200AAJS,0.320072933376,6.0,1716.0,1726 days 00:00:00.000000000,67639.0,39545.0,22.1519787584,0.000125541397276,1.0
WDC WD3200AAKS,0.320072933376,1.0,320.0,320 days 00:00:00.000000000,39024.0,7592.0,0.0,2.09235662126e-05,0.0
WDC WD3200BEKT,0.320072933376,1.0,320.0,320 days 00:00:00.000000000,10878.0,7662.0,0.0,2.09235662126e-05,0.0
