model,size_tb,drive_count,days_observed,days_elapsed,runtime_total,runtime_elapsed,failure_rate,percent_total,failures
HGST HDS5C4040ALE630,4.0,77.0,6914.0,6837 days 00:00:00.000000000,935181.0,164171.0,0.0,0.0010342095013,0.0
HGST HDS724040ALE640,4.0,40.0,3680.0,3640 days 00:00:00.000000000,1152180.0,87401.0,0.0,0.000537251688985,0.0
HGST HMS5C4040ALE640,4.0,7066.0,648393.0,815 days 01:16:18.871345152,150007856.0,15398423.0,0.512000482127,0.0949055108592,9.0
HGST HMS5C4040BLE640,4.0,9421.0,809119.0,-53464 days +01:41:45.161793536,104040303.0,19221369.0,0.638039881551,0.126536204048,14.0
HGST HUH728080ALE600,8.0,45.0,4140.0,4095 days 00:00:00.000000000,742994.0,98326.0,0.0,0.000604408150108,0.0
Hitachi HDS5C3030ALA630,3.0,4492.0,412752.0,-18748 days +00:50:52.580896768,181965530.0,9803041.0,1.1616803398,0.060333364673,13.0
Hitachi HDS5C3030BLE630,3.0,1.0,92.0,91 days 00:00:00.000000000,33470.0,2185.0,0.0,1.34312922246e-05,0.0
Hitachi HDS5C4040ALE630,4.0,2629.0,241665.0,25532 days 00:25:26.290448384,86277068.0,5739712.0,0.610483592208,0.0353108672585,4.0
Hitachi HDS722020ALA330,2.0,230.0,5119.0,6147 days 00:00:00.000000000,11263594.0,133230.0,0.0,0.00308919721166,0.0
Hitachi HDS723030ALA640,3.0,987.0,90415.0,89428 days 00:00:00.000000000,43815656.0,2147271.0,3.67163716177,0.0132566854257,9.0
Hitachi HDS723030BLE640,3.0,9.0,828.0,819 days 00:00:00.000000000,273544.0,19665.0,0.0,0.000120881630022,0.0
Hitachi HDS724040ALE640,4.0,3.0,276.0,273 days 00:00:00.000000000,53128.0,6556.0,0.0,4.02938766739e-05,0.0
Hitachi HDT725025VLA380,0.0,1.0,92.0,91 days 00:00:00.000000000,65797.0,2186.0,0.0,1.34312922246e-05,0.0
