model,size_tb,drive_count,days_observed,days_elapsed,runtime_total,runtime_elapsed,failure_rate,percent_total,failures
WDC WD10EADX,1.00020488602,23.0,1437.0,1459 days 00:00:00.000000000,350464.0,34154.0,51.2970662294,0.000501920391061,2.0
WDC WD10EARS,1.00020488602,5.0,321.0,352 days 00:00:00.000000000,142742.0,8229.0,0.0,0.000109113128492,0.0
WDC WD10EARX,1.00020488602,3.0,269.0,266 days 00:00:00.000000000,66948.0,6345.0,0.0,6.5467877095e-05,0.0
WDC WD15EARS,1.50030191002,1.0,90.0,89 days 00:00:00.000000000,38687.0,2122.0,0.0,2.18226256983e-05,0.0
WDC WD1600AAJB,0.160041885696,8.0,714.0,706 days 00:00:00.000000000,219019.0,16796.0,0.0,0.000174581005587,0.0
WDC WD1600AAJS,0.160041885696,71.0,5597.0,5526 days 00:00:00.000000000,1816536.0,132004.0,6.63616254053,0.00154940642458,1.0
WDC WD1600BPVT,0.160041885696,2.0,180.0,178 days 00:00:00.000000000,18091.0,4264.0,0.0,4.36452513966e-05,0.0
WDC WD20EFRX,2.00039893402,51.0,3626.0,3575 days 00:00:00.000000000,164142.0,85648.0,0.0,0.00111295391061,0.0
WDC WD2500AAJB,0.250059350016,1.0,90.0,89 days 00:00:00.000000000,21089.0,2130.0,0.0,2.18226256983e-05,0.0
WDC WD2500AAJS,0.250059350016,3.0,270.0,267 days 00:00:00.000000000,39919.0,6398.0,136.917786808,6.5467877095e-05,1.0
WDC WD2500BEVT,0.250059350016,1.0,90.0,89 days 00:00:00.000000000,12375.0,2033.0,0.0,2.18226256983e-05,0.0
WDC WD2500BPVT,0.250059350016,8.0,712.0,704 days 00:00:00.000000000,129976.0,16871.0,0.0,0.000174581005587,0.0
WDC WD30EFRX,3.00059298202,1120.0,76594.0,86694 days 00:00:00.000000000,9148652.0,1938907.0,12.198625308,0.0244413407821,27.0
WDC WD30EZRX,3.00059298202,1.0,43.0,42 days 00:00:00.000000000,2911.0,1006.0,0.0,2.18226256983e-05,0.0
WDC WD3200AAJB,0.320072933376,3.0,269.0,266 days 00:00:00.000000000,62955.0,6372.0,0.0,6.5467877095e-05,0.0
WDC WD3200AAJS,0.320072933376,5.0,446.0,441 days 00:00:00.000000000,69594.0,10547.0,0.0,0.000109113128492,0.0
WDC WD3200AAKS,0.320072933376,1.0,90.0,89 days 00:00:00.000000000,41157.0,2110.0,0.0,2.18226256983e-05,0.0
WDC WD3200BEKT,0.320072933376,1.0,90.0,89 days 00:00:00.000000000,13034.0,2132.0,0.0,2.18226256983e-05,0.0
WDC WD3200BEKX,0.320072933376,13.0,1110.0,1097 days 00:00:00.000000000,76176.0,26286.0,33.3257247204,0.000283694134078,1.0
WDC WD3200LPVX,0.320072933376,1.0,90.0,89 days 00:00:00.000000000,10367.0,2133.0,0.0,2.18226256983e-05,0.0
WDC WD40EFRX,4.00078703002,46.0,4050.0,4004 days 00:00:00.000000000,422082.0,95939.0,9.13080186368,0.00100384078212,1.0
WDC WD5000AAJS,0.500107862016,1.0,7.0,6 days 00:00:00.000000000,13846.0,58.0,0.0,2.18226256983e-05,0.0
WDC WD5000BPKT,0.500107862016,24.0,2160.0,2136 days 00:00:00.000000000,412064.0,51190.0,0.0,0.00052374301676,0.0
WDC WD5000LPVX,0.500107862016,219.0,17899.0,17772 days 00:00:00.000000000,1241290.0,425554.0,8.23397265682,0.00477915502793,4.0
WDC WD5002ABYS,0.500107862016,5.0,450.0,445 days 00:00:00.000000000,130407.0,10660.0,0.0,0.000109113128492,0.0
WDC WD5003ABYX,0.500107862016,2.0,180.0,178 days 00:00:00.000000000,16451.0,3906.0,0.0,4.36452513966e-05,0.0
WDC WD60EFRX,6.00117512602,458.0,37575.0,37197 days 00:00:00.000000000,1206724.0,889297.0,7.88038191965,0.00999476256983,8.0
WDC WD800AAJB,0.080026361856,16.0,1347.0,1331 days 00:00:00.000000000,576361.0,31153.0,112.477129008,0.000349162011173,4.0
WDC WD800AAJS,0.080026361856,16.0,1356.0,1340 days 00:00:00.000000000,417554.0,32096.0,0.0,0.000349162011173,0.0
WDC WD800BB,0.080026361856,43.0,3588.0,3545 days 00:00:00.000000000,2916588.0,85031.0,0.0,0.000938372905028,0.0
WDC WD800JB,0.080026361856,18.0,1620.0,1602 days 00:00:00.000000000,863089.0,36745.0,0.0,0.00039280726257,0.0
WDC WD800JD,0.080026361856,1.0,90.0,89 days 00:00:00.000000000,33257.0,2126.0,0.0,2.18226256983e-05,0.0
WDC WD800LB,0.080026361856,2.0,166.0,164 days 00:00:00.000000000,161120.0,3928.0,0.0,4.36452513966e-05,0.0
