model,size_tb,drive_count,days_observed,days_elapsed,runtime_total,runtime_elapsed,failure_rate,percent_total,failures
HGST HDS5C4040ALE630,4.0,75.0,6824.0,6749 days 00:00:00.000000000,603579.0,161969.0,0.0,0.00104297037964,0.0
HGST HDS724040ALE640,4.0,40.0,3640.0,3600 days 00:00:00.000000000,975494.0,86408.0,0.0,0.000556250869142,0.0
HGST HMS5C4040ALE640,4.0,7075.0,643762.0,-3825 days +01:16:18.871345152,118991073.0,15281225.0,0.114650494316,0.0983868724795,2.0
HGST HMS5C4040BLE640,4.0,8481.0,548083.0,-100626 days +01:16:18.871345152,65583039.0,12957363.0,0.540850788853,0.11793909053,8.0
HGST HUH728080ALE600,8.0,45.0,3825.0,4050 days 00:00:00.000000000,544228.0,97199.0,0.0,0.000625782227785,0.0
Hitachi HDS5C3030ALA630,3.0,4555.0,410821.0,-20742 days +00:50:52.580896768,164591912.0,9749756.0,0.98833242596,0.0633430677235,11.0
Hitachi HDS5C3030BLE630,3.0,1.0,91.0,90 days 00:00:00.000000000,29053.0,2161.0,0.0,1.39062717285e-05,0.0
Hitachi HDS5C4040ALE630,4.0,2632.0,239399.0,23286 days 00:25:26.290448384,74753389.0,5682859.0,0.154147762596,0.0366013071895,1.0
Hitachi HDS722020ALA330,2.0,4289.0,362642.0,-62819 days +00:50:52.580896768,201033097.0,8659577.0,2.02319351165,0.0596439994437,20.0
Hitachi HDS723020BLA642,2.0,6.0,543.0,540 days 00:00:00.000000000,195192.0,12958.0,0.0,8.34376303713e-05,0.0
Hitachi HDS723030ALA640,3.0,998.0,90651.0,89653 days 00:00:00.000000000,39896499.0,2151484.0,3.25728659846,0.0138784591851,8.0
Hitachi HDS723030BLE640,3.0,9.0,819.0,810 days 00:00:00.000000000,233790.0,19441.0,0.0,0.000125156445557,0.0
Hitachi HDS724040ALE640,4.0,3.0,273.0,270 days 00:00:00.000000000,39876.0,6480.0,0.0,4.17188151856e-05,0.0
Hitachi HDT725025VLA380,0.0,1.0,90.0,90 days 00:00:00.000000000,61379.0,2141.0,0.0,1.39062717285e-05,0.0
ST1000LM024 HN,1.0,1.0,8.0,25 days 00:00:00.000000000,515.0,441.0,0.0,1.39062717285e-05,0.0
ST2000VN000,2.0,6.0,456.0,450 days 00:00:00.000000000,53055.0,10800.0,0.0,8.34376303713e-05,0.0
ST250LM004 HN,0.0,34.0,2927.0,2946 days 00:00:00.000000000,809933.0,67370.0,26.0056404928,0.000472813238771,2.0
ST250LT007,0.0,2.0,116.0,114 days 00:00:00.000000000,34701.0,2767.0,633.176725696,2.78125434571e-05,2.0
ST31500541AS,1.0,45.0,1215.0,1170 days 00:00:00.000000000,2451922.0,28127.0,0.0,0.000625782227785,0.0
ST3160316AS,0.0,52.0,4384.0,4571 days 00:00:00.000000000,2188541.0,104692.0,8.36740152065,0.000723126129885,1.0
ST3160318AS,0.0,45.0,3755.0,3788 days 00:00:00.000000000,2140754.0,89111.0,39.3217447902,0.000625782227785,4.0
ST320LT007,0.0,42.0,2445.0,2403 days 00:00:00.000000000,1212077.0,58312.0,450.679105501,0.000584063412599,30.0
ST3500320AS,0.0,1.0,91.0,90 days 00:00:00.000000000,35378.0,2160.0,0.0,1.39062717285e-05,0.0
ST4000DM000,4.0,34965.0,3126610.0,-77101 days +06:21:34.356725760,399700888.0,75011413.0,2.66263481798,0.486232790989,228.0
