model,size_tb,drive_count,days_observed,days_elapsed,runtime_total,runtime_elapsed,failure_rate,percent_total,failures
HGST HDS5C4040ALE630,4.00078703002,63.0,11632.0,11668 days 00:00:00.000000000,293383.0,280082.0,9.38296641698,0.00100162167319,3.0
HGST HDS724040ALE640,4.00078703002,42.0,14876.0,14914 days 00:00:00.000000000,831867.0,357895.0,4.89529051817,0.000667747782123,2.0
HGST HMS5C4040ALE640,4.00078703002,7129.0,2573988.0,18892 days 05:05:15.485380608,88521073.0,61942024.0,0.622259292012,0.113342236637,44.0
HGST HMS5C4040BLE640,4.00078703002,3103.0,1125847.0,59349 days 02:07:11.452241920,45173474.0,27044843.0,0.388687780513,0.0493338420935,12.0
HGST HUH728080ALE600,8.00156322202,47.0,14803.0,14801 days 00:00:00.000000000,355601.0,355178.0,4.93273795111,0.00074724156571,2.0
Hitachi HDS5C3030ALA630,3.00059298202,4606.0,1661443.0,-41803 days +03:23:30.323587072,146310157.0,39989765.0,1.02956343955,0.0732296734395,47.0
Hitachi HDS5C3030BLE630,3.00059298202,1.0,363.0,364 days 00:00:00.000000000,24686.0,8725.0,0.0,1.58987567172e-05,0.0
Hitachi HDS5C4040ALE630,4.00078703002,2660.0,959687.0,-104663 days +02:07:11.452241920,63830806.0,23109071.0,0.796051039871,0.0422906928678,21.0
Hitachi HDS722020ALA330,2.00039893402,4683.0,1672359.0,-30450 days +03:23:30.323587072,199498367.0,40260127.0,2.37167657221,0.0744538777068,109.0
Hitachi HDS723020BLA642,2.00039893402,9.0,3012.0,3021 days 00:00:00.000000000,244270.0,72503.0,12.0822586652,0.000143088810455,1.0
Hitachi HDS723030ALA640,3.00059298202,1018.0,365526.0,-60367 days +00:50:52.580896768,36148591.0,8799640.0,1.79189148647,0.0161849343381,18.0
Hitachi HDS723030BLE640,3.00059298202,10.0,3272.0,3313 days 00:00:00.000000000,216046.0,78765.0,11.1216911065,0.000158987567172,1.0
Hitachi HDS724040ALE640,4.00078703002,3.0,1057.0,1059 days 00:00:00.000000000,26775.0,25405.0,0.0,4.76962701517e-05,0.0
Hitachi HDT725025VLA380,0.25,1.0,363.0,364 days 00:00:00.000000000,57031.0,8736.0,0.0,1.58987567172e-05,0.0
SAMSUNG HD154UI,1.50030191002,2.0,419.0,433 days 00:00:00.000000000,34509.0,10387.0,0.0,3.17975134344e-05,0.0
ST1500DL001,1.50030191002,2.0,336.0,345 days 00:00:00.000000000,37737.0,8068.0,0.0,3.17975134344e-05,0.0
ST1500DL003,1.50030191002,24.0,2204.0,2216 days 00:00:00.000000000,450822.0,52863.0,215.424777254,0.000381570161213,13.0
ST1500DM003,1.50030191002,3.0,657.0,664 days 00:00:00.000000000,65810.0,15936.0,0.0,4.76962701517e-05,0.0
ST2000DL001,2.00039893402,1.0,96.0,95 days 00:00:00.000000000,16382.0,2280.0,0.0,1.58987567172e-05,0.0
ST2000DL003,2.00039893402,2.0,142.0,140 days 00:00:00.000000000,15649.0,3359.0,0.0,3.17975134344e-05,0.0
ST2000VN000,2.00039893402,10.0,1388.0,1642 days 00:00:00.000000000,82903.0,33252.0,52.6885600866,0.000158987567172,2.0
ST250LM004 HN,0.250059350016,38.0,12842.0,12944 days 00:00:00.000000000,754945.0,277889.0,18.9140268237,0.000604152755255,6.0
ST250LT007,0.250059350016,4.0,1302.0,1456 days 00:00:00.000000000,82272.0,31621.0,27.7031086936,6.35950268689e-05,1.0
ST3000DM001,3.00059298202,1168.0,124494.0,-83193 days +00:25:26.290448384,25688069.0,2999821.0,30.9538469129,0.0185697478457,106.0
ST31500341AS,1.50030191002,307.0,46662.0,46380 days 00:00:00.000000000,13872856.0,1111920.0,26.7860997194,0.00488091831219,34.0
ST31500541AS,1.50030191002,1693.0,366831.0,-51725 days +00:50:52.580896768,80205023.0,8954191.0,10.663609923,0.0269165951223,109.0
ST3160316AS,0.160041885696,57.0,18171.0,18561 days 00:00:00.000000000,2109349.0,437694.0,12.0083894227,0.000906229132882,6.0
ST3160318AS,0.160041885696,50.0,17219.0,17400 days 00:00:00.000000000,2155442.0,414367.0,10.5703398195,0.000794937835861,5.0
ST32000542AS,2.00039893402,83.0,5701.0,5618 days 00:00:00.000000000,2080411.0,134869.0,6.4951916304,0.00131959680753,1.0
ST320005XXXX,2.00039893402,2.0,67.0,65 days 00:00:00.000000000,57855.0,1563.0,560.460652591,3.17975134344e-05,1.0
ST320LT007,0.320072933376,86.0,28761.0,29023 days 00:00:00.000000000,2035788.0,700163.0,20.018195763,0.00136729307768,16.0
ST33000651AS,3.00059298202,279.0,52142.0,53493 days 00:00:00.000000000,8443460.0,1283437.0,3.41271133682,0.00443575312411,5.0
ST3500320AS,0.500107862016,1.0,363.0,364 days 00:00:00.000000000,31010.0,8735.0,0.0,1.58987567172e-05,0.0
ST4000DM000,4.00078703002,29670.0,6782765.0,-18897 days +13:34:01.294348288,262510214.0,162583264.0,3.15737295076,0.4717161118,586.0
ST4000DX000,4.00078703002,219.0,68166.0,68664 days 00:00:00.000000000,4279425.0,1647950.0,3.72098668042,0.00348182772107,7.0
ST500LM012 HN,0.500107862016,519.0,111360.0,-99548 days +00:25:26.290448384,3235345.0,2678970.0,6.86681821745,0.00825145473624,21.0
ST6000DX000,6.00117512602,1909.0,510356.0,96862 days 00:50:52.580896768,12838952.0,12563892.0,2.16143214221,0.0303507265732,31.0
ST9250315AS,0.250059350016,62.0,21139.0,21392 days 00:00:00.000000000,1134318.0,517879.0,18.6066629464,0.000985722916468,11.0
ST9320325AS,0.320072933376,24.0,8492.0,8659 days 00:00:00.000000000,391022.0,208555.0,4.20033084798,0.000381570161213,1.0
TOSHIBA DT01ACA300,3.00059298202,53.0,17204.0,17243 days 00:00:00.000000000,1192628.0,413817.0,2.11687775031,0.000842634106013,1.0
TOSHIBA MD04ABA400V,4.00078703002,148.0,35989.0,36011 days 00:00:00.000000000,879434.0,863616.0,3.04301911961,0.00235301599415,3.0
TOSHIBA MD04ABA500V,5.00098107802,46.0,13590.0,13589 days 00:00:00.000000000,330970.0,326054.0,2.68667153294,0.000731342808992,1.0
WDC WD1001FALS,1.00020488602,2.0,416.0,628 days 00:00:00.000000000,38160.0,10982.0,0.0,3.17975134344e-05,0.0
WDC WD10EACS,1.00020488602,97.0,12729.0,15629 days 00:00:00.000000000,4648065.0,309497.0,5.6607980045,0.00154217940157,2.0
WDC WD10EADS,1.00020488602,491.0,91625.0,-104079 days +00:25:26.290448384,23735053.0,2278658.0,10.3797937207,0.00780628954816,27.0
WDC WD10EADX,1.00020488602,25.0,3129.0,3410 days 00:00:00.000000000,425594.0,75892.0,34.6281558003,0.000397468917931,3.0
WDC WD10EARS,1.00020488602,5.0,881.0,978 days 00:00:00.000000000,156253.0,21740.0,0.0,7.94937835861e-05,0.0
WDC WD10EARX,1.00020488602,3.0,788.0,794 days 00:00:00.000000000,79577.0,18974.0,0.0,4.76962701517e-05,0.0
WDC WD15EARS,1.50030191002,1.0,282.0,284 days 00:00:00.000000000,43338.0,6773.0,0.0,1.58987567172e-05,0.0
WDC WD1600AAJB,0.160041885696,8.0,2484.0,2500 days 00:00:00.000000000,261616.0,59393.0,14.7492128702,0.000127190053738,1.0
WDC WD1600AAJS,0.160041885696,106.0,27629.0,30154 days 00:00:00.000000000,3058990.0,665122.0,9.21936126004,0.00168526821203,7.0
WDC WD1600BPVT,0.160041885696,2.0,719.0,720 days 00:00:00.000000000,31088.0,17261.0,50.7502462198,3.17975134344e-05,1.0
WDC WD20EFRX,2.00039893402,141.0,33170.0,33414 days 00:00:00.000000000,880825.0,799889.0,7.66606366633,0.00224172469713,7.0
WDC WD2500AAJB,0.250059350016,1.0,363.0,364 days 00:00:00.000000000,27677.0,8718.0,0.0,1.58987567172e-05,0.0
WDC WD2500AAJS,0.250059350016,3.0,1010.0,1092 days 00:00:00.000000000,57766.0,24245.0,36.1311610641,4.76962701517e-05,1.0
WDC WD2500BEVT,0.250059350016,1.0,363.0,364 days 00:00:00.000000000,18905.0,8563.0,0.0,1.58987567172e-05,0.0
WDC WD2500BPVT,0.250059350016,8.0,2858.0,2912 days 00:00:00.000000000,182393.0,69288.0,0.0,0.000127190053738,0.0
WDC WD30EFRX,3.00059298202,1209.0,369278.0,-40702 days +00:50:52.580896768,16259215.0,9048453.0,7.64815819898,0.0192215968711,79.0
WDC WD30EZRX,3.00059298202,1.0,43.0,42 days 00:00:00.000000000,2911.0,1006.0,0.0,1.58987567172e-05,0.0
WDC WD3200AAJB,0.320072933376,3.0,815.0,816 days 00:00:00.000000000,76138.0,19555.0,0.0,4.76962701517e-05,0.0
WDC WD3200AAJS,0.320072933376,5.0,1251.0,1256 days 00:00:00.000000000,88894.0,29847.0,29.3496833853,7.94937835861e-05,1.0
WDC WD3200AAKS,0.320072933376,1.0,363.0,364 days 00:00:00.000000000,47664.0,8617.0,0.0,1.58987567172e-05,0.0
WDC WD3200BEKT,0.320072933376,1.0,363.0,364 days 00:00:00.000000000,19628.0,8726.0,0.0,1.58987567172e-05,0.0
WDC WD3200BEKX,0.320072933376,14.0,4315.0,4322 days 00:00:00.000000000,153620.0,103619.0,25.3621440083,0.000222582594041,3.0
WDC WD3200LPVX,0.320072933376,1.0,364.0,364 days 00:00:00.000000000,16961.0,8727.0,0.0,1.58987567172e-05,0.0
WDC WD40EFRX,4.00078703002,48.0,16394.0,16391 days 00:00:00.000000000,719096.0,392930.0,4.45880945716,0.000763140322427,2.0
WDC WD5000AAJS,0.500107862016,1.0,7.0,6 days 00:00:00.000000000,13846.0,58.0,0.0,1.58987567172e-05,0.0
WDC WD5000BPKT,0.500107862016,24.0,8654.0,8736 days 00:00:00.000000000,569198.0,208324.0,0.0,0.000381570161213,0.0
WDC WD5000LPVX,0.500107862016,271.0,85267.0,88223 days 00:00:00.000000000,2892986.0,2066012.0,12.7201584502,0.00430856307037,30.0
WDC WD5002ABYS,0.500107862016,5.0,1815.0,1820 days 00:00:00.000000000,163372.0,43625.0,0.0,7.94937835861e-05,0.0
WDC WD5003ABYX,0.500107862016,2.0,726.0,728 days 00:00:00.000000000,26294.0,13749.0,0.0,3.17975134344e-05,0.0
WDC WD60EFRX,6.00117512602,485.0,162790.0,-50655 days +00:25:26.290448384,4219732.0,3902007.0,6.0614960455,0.00771089700785,27.0
WDC WD800AAJB,0.080026361856,16.0,4109.0,4113 days 00:00:00.000000000,641160.0,95952.0,45.647823912,0.000254380107476,5.0
WDC WD800AAJS,0.080026361856,16.0,5224.0,5242 days 00:00:00.000000000,511083.0,125625.0,0.0,0.000254380107476,0.0
WDC WD800BB,0.080026361856,43.0,7145.0,7116 days 00:00:00.000000000,3002018.0,170461.0,15.417016209,0.000683646538841,3.0
WDC WD800JB,0.080026361856,18.0,3994.0,3987 days 00:00:00.000000000,920238.0,93894.0,27.9890088824,0.00028617762091,3.0
WDC WD800JD,0.080026361856,1.0,363.0,364 days 00:00:00.000000000,39831.0,8700.0,0.0,1.58987567172e-05,0.0
WDC WD800LB,0.080026361856,2.0,439.0,439 days 00:00:00.000000000,167717.0,10525.0,0.0,3.17975134344e-05,0.0
