model,size_tb,drive_count,days_observed,days_elapsed,runtime_total,runtime_elapsed,failure_rate,percent_total,failures
HGST HDS5C4040ALE630,4.00078703002,60.0,4974.0,5013 days 00:00:00.000000000,291424.0,120364.0,0.0,0.00101708706265,0.0
HGST HDS724040ALE640,4.00078703002,40.0,3600.0,3640 days 00:00:00.000000000,800805.0,87406.0,0.0,0.000678058041768,0.0
HGST HMS5C4040ALE640,4.00078703002,7092.0,640547.0,4582 days 01:16:18.871345152,88297062.0,15489609.0,0.395878294927,0.120219690806,7.0
HGST HMS5C4040BLE640,4.00078703002,3092.0,280314.0,67843 days 00:25:26.290448384,45077886.0,6755494.0,0.129672234185,0.0524138866287,1.0
HGST HUH728080ALE600,8.00156322202,46.0,4093.0,4092 days 00:00:00.000000000,354633.0,98244.0,8.91657505802,0.000779766748034,1.0
Hitachi HDS5C3030ALA630,3.00059298202,4560.0,410005.0,-12175 days +00:50:52.580896768,145016742.0,9961099.0,0.175884207154,0.0772986167616,2.0
Hitachi HDS5C3030BLE630,3.00059298202,1.0,90.0,91 days 00:00:00.000000000,24686.0,2185.0,0.0,1.69514510442e-05,0.0
Hitachi HDS5C4040ALE630,4.00078703002,2643.0,237103.0,26770 days 00:25:26.290448384,63528493.0,5769418.0,0.607340289783,0.0448026851098,4.0
Hitachi HDS722020ALA330,2.00039893402,4587.0,410802.0,-11101 days +00:50:52.580896768,195904532.0,9986415.0,1.05262999785,0.0777563059398,12.0
Hitachi HDS723020BLA642,2.00039893402,8.0,718.0,728 days 00:00:00.000000000,216929.0,17482.0,0.0,0.000135611608354,0.0
Hitachi HDS723030ALA640,3.00059298202,1002.0,89981.0,91112 days 00:00:00.000000000,35658501.0,2187811.0,0.800800434772,0.0169853539463,2.0
Hitachi HDS723030BLE640,3.00059298202,9.0,810.0,819 days 00:00:00.000000000,194488.0,19666.0,0.0,0.000152563059398,0.0
Hitachi HDS724040ALE640,4.00078703002,3.0,271.0,273 days 00:00:00.000000000,26775.0,6554.0,0.0,5.08543531326e-05,0.0
Hitachi HDT725025VLA380,0.25,1.0,90.0,91 days 00:00:00.000000000,57031.0,2185.0,0.0,1.69514510442e-05,0.0
SAMSUNG HD154UI,1.50030191002,1.0,90.0,91 days 00:00:00.000000000,21336.0,2184.0,0.0,1.69514510442e-05,0.0
ST1500DL003,1.50030191002,1.0,74.0,75 days 00:00:00.000000000,21314.0,1794.0,0.0,1.69514510442e-05,0.0
ST1500DM003,1.50030191002,1.0,74.0,75 days 00:00:00.000000000,26772.0,1796.0,0.0,1.69514510442e-05,0.0
ST2000VN000,2.00039893402,7.0,390.0,389 days 00:00:00.000000000,49815.0,9343.0,0.0,0.000118660157309,0.0
ST250LM004 HN,0.250059350016,35.0,3003.0,3076 days 00:00:00.000000000,703331.0,59504.0,44.1650981447,0.000593300786547,3.0
ST250LT007,0.250059350016,4.0,278.0,320 days 00:00:00.000000000,82272.0,6748.0,0.0,6.78058041768e-05,0.0
ST3000DM001,3.00059298202,146.0,2971.0,2887 days 00:00:00.000000000,3744335.0,69413.0,37.8603431634,0.00247491185245,3.0
ST31500341AS,1.50030191002,2.0,164.0,166 days 00:00:00.000000000,103279.0,3987.0,0.0,3.39029020884e-05,0.0
ST31500541AS,1.50030191002,626.0,43274.0,43873 days 00:00:00.000000000,30789699.0,1052303.0,1.66491970469,0.0106116083537,2.0
ST3160316AS,0.160041885696,53.0,4650.0,4748 days 00:00:00.000000000,1996302.0,113012.0,0.0,0.000898426905343,0.0
ST3160318AS,0.160041885696,47.0,4187.0,4234 days 00:00:00.000000000,2040743.0,101606.0,0.0,0.000796718199078,0.0
ST320LT007,0.320072933376,78.0,6437.0,6496 days 00:00:00.000000000,1878960.0,157687.0,55.5530893479,0.00132221318145,10.0
ST33000651AS,3.00059298202,78.0,726.0,648 days 00:00:00.000000000,2455270.0,15553.0,0.0,0.00132221318145,0.0
ST3500320AS,0.500107862016,1.0,90.0,91 days 00:00:00.000000000,31010.0,2184.0,0.0,1.69514510442e-05,0.0
