model,size_tb,drive_count,days_observed,days_elapsed,runtime_total,runtime_elapsed,failure_rate,percent_total,failures
HGST HDS5C4040ALE630,4.00078703002,51.0,4142.0,4091 days 00:00:00.000000000,171395.0,98183.0,8.9221148264,0.000991928425557,1.0
HGST HDS724040ALE640,4.00078703002,40.0,3680.0,3640 days 00:00:00.000000000,712441.0,87350.0,0.0,0.000777983078868,0.0
HGST HMS5C4040ALE640,4.00078703002,7096.0,652604.0,4996 days 01:16:18.871345152,72670019.0,15492860.0,0.226168699646,0.138014198191,4.0
HGST HMS5C4040BLE640,4.00078703002,3096.0,284529.0,67929 days 00:25:26.290448384,38290901.0,6754466.0,0.518767878912,0.0602158903044,4.0
HGST HUH728080ALE600,8.00156322202,45.0,4140.0,4095 days 00:00:00.000000000,255296.0,98263.0,0.0,0.000875230963727,0.0
Hitachi HDS5C3030ALA630,3.00059298202,4577.0,420410.0,-11174 days +00:50:52.580896768,135472725.0,9979714.0,1.49222713196,0.0890207137995,17.0
Hitachi HDS5C3030BLE630,3.00059298202,1.0,92.0,91 days 00:00:00.000000000,22477.0,2178.0,0.0,1.94495769717e-05,0.0
Hitachi HDS5C4040ALE630,4.00078703002,2648.0,243401.0,27254 days 00:25:26.290448384,57804450.0,5778274.0,0.758011821523,0.0515024798211,5.0
Hitachi HDS722020ALA330,2.00039893402,4609.0,423138.0,-8479 days +00:50:52.580896768,186678551.0,10044298.0,1.91870054035,0.0896431002626,22.0
Hitachi HDS723020BLA642,2.00039893402,8.0,736.0,728 days 00:00:00.000000000,199258.0,17473.0,0.0,0.000155596615774,0.0
Hitachi HDS723030ALA640,3.00059298202,1006.0,92420.0,91414 days 00:00:00.000000000,33578879.0,2194015.0,1.5970720346,0.0195662744335,4.0
Hitachi HDS723030BLE640,3.00059298202,10.0,885.0,875 days 00:00:00.000000000,196163.0,20999.0,41.7162722034,0.000194495769717,1.0
Hitachi HDS724040ALE640,4.00078703002,3.0,276.0,273 days 00:00:00.000000000,20148.0,6552.0,0.0,5.83487309151e-05,0.0
Hitachi HDT725025VLA380,0.25,1.0,92.0,91 days 00:00:00.000000000,54822.0,2184.0,0.0,1.94495769717e-05,0.0
SAMSUNG HD154UI,1.50030191002,1.0,92.0,91 days 00:00:00.000000000,19128.0,2183.0,0.0,1.94495769717e-05,0.0
ST1500DL003,1.50030191002,3.0,139.0,136 days 00:00:00.000000000,59279.0,3264.0,268.382352941,5.83487309151e-05,1.0
