,model,size,count,obs_days,drive_hours,failures,failure_rate,percent_total,manufacturer
55,WD30EZRX,3.000592982016001,87.0,252.0,6022.0,0.0,0.0,0.002387813915191437,Western Digital
56,WD3200AAJB,0.3200729333760001,3.0,270.0,6461.0,0.0,0.0,8.233841086867023e-05,Western Digital
57,WD3200AAJS,0.3200729333760001,5.0,450.0,10734.0,0.0,0.0,0.00013723068478111705,Western Digital
58,WD3200AAKS,0.3200729333760001,1.0,90.0,2135.0,0.0,0.0,2.7446136956223412e-05,Western Digital
59,WD3200BEKT,0.3200729333760001,1.0,90.0,2153.0,0.0,0.0,2.7446136956223412e-05,Western Digital
60,WD3200LPVX,0.3200729333760001,2.0,180.0,4316.0,0.0,0.0,5.4892273912446824e-05,Western Digital
61,WD40EFRX,4.000787030016,45.0,4050.0,97086.0,0.0,0.0,0.0012350761630300535,Western Digital
62,WD5000AAJS,0.5001078620160009,1.0,90.0,1437.0,0.0,0.0,2.7446136956223412e-05,Western Digital
63,WD5000BPKT,0.500107862016001,24.0,2160.0,51527.0,0.0,0.0,0.0006587072869493619,Western Digital
64,WD5000LPVX,0.5001078620160012,122.0,6825.0,162083.0,0.0,0.0,0.0033484287086592564,Western Digital
65,WD5002ABYS,0.5001078620160007,6.0,455.0,10906.0,0.0,0.0,0.00016467682173734047,Western Digital
66,WD5003ABYX,0.5001078620160009,1.0,90.0,2155.0,0.0,0.0,2.7446136956223412e-05,Western Digital
67,WD800AAJB,0.08002636185600018,23.0,1871.0,43803.0,1.0,19.998630230806107,0.0006312611499931385,Western Digital
68,WD800AAJS,0.08002636185600016,30.0,2665.0,63834.0,1.0,13.723094275777799,0.0008233841086867024,Western Digital
69,WD800BB,0.08002636185600011,56.0,4677.0,109698.0,2.0,15.97112071323087,0.001536983669548511,Western Digital
70,WD800JB,0.08002636185600019,19.0,1688.0,39598.0,0.0,0.0,0.0005214766021682448,Western Digital
71,WD800JD,0.08002636185600018,1.0,90.0,2151.0,0.0,0.0,2.7446136956223412e-05,Western Digital
72,WD800LB,0.08002636185600019,2.0,180.0,4290.0,0.0,0.0,5.4892273912446824e-05,Western Digital
