,model,size,count,obs_days,drive_hours,failures,failure_rate,percent_total,manufacturer
58,WD3200AAJB,0.3200729333760001,2.0,180.0,4315.0,0.0,0.0,4.0342914775592536e-05,Western Digital
59,WD3200AAJS,0.3200729333760001,4.0,360.0,8607.0,0.0,0.0,8.068582955118507e-05,Western Digital
60,WD3200AAKS,0.3200729333760001,1.0,90.0,2136.0,0.0,0.0,2.0171457387796268e-05,Western Digital
61,WD3200BEKT,0.3200729333760001,1.0,90.0,2158.0,0.0,0.0,2.0171457387796268e-05,Western Digital
62,WD3200BEKX,0.3200729333760001,12.0,1080.0,25894.0,0.0,0.0,0.00024205748865355523,Western Digital
63,WD3200LPVX,0.3200729333760001,1.0,90.0,2159.0,0.0,0.0,2.0171457387796268e-05,Western Digital
64,WD40EFRX,4.000787030016,45.0,4050.0,97097.0,0.0,0.0,0.000907715582450832,Western Digital
65,WD5000BPKT,0.500107862016001,24.0,2160.0,51529.0,0.0,0.0,0.00048411497730711046,Western Digital
66,WD5000LPVX,0.500107862015998,257.0,22136.0,530281.0,9.0,14.867589070700252,0.005184064548663641,Western Digital
67,WD5002ABYS,0.5001078620160009,5.0,450.0,10786.0,0.0,0.0,0.00010085728693898134,Western Digital
68,WD5003ABYX,0.5001078620160009,2.0,180.0,3237.0,0.0,0.0,4.0342914775592536e-05,Western Digital
69,WD60EFRX,6.00117512601598,465.0,40943.0,981525.0,7.0,6.247421104913273,0.009379727685325264,Western Digital
70,WD800AAJB,0.08002636185600019,11.0,990.0,23150.0,0.0,0.0,0.00022188603126575894,Western Digital
71,WD800AAJS,0.08002636185600019,15.0,1311.0,31418.0,0.0,0.0,0.000302571860816944,Western Digital
72,WD800BB,0.08002636185600011,33.0,2230.0,53386.0,2.0,32.81759262728056,0.0006656580937972769,Western Digital
73,WD800JB,0.08002636185600015,18.0,1376.0,32977.0,1.0,26.563968826758042,0.0003630862329803328,Western Digital
74,WD800JD,0.08002636185600019,1.0,90.0,2151.0,0.0,0.0,2.0171457387796268e-05,Western Digital
75,WD800LB,0.08002636185600019,1.0,90.0,2160.0,0.0,0.0,2.0171457387796268e-05,Western Digital
