,model,size,count,obs_days,drive_hours,failures,failure_rate,percent_total,manufacturer
0,HDS5C4040ALE630,4.000787030016,75.0,6825.0,163812.0,0.0,0.0,0.0010057124466972404,HGST
1,HDS724040ALE640,4.000787030016,40.0,3640.0,87362.0,0.0,0.0,0.0005363799715718615,HGST
2,HMS5C4040ALE640,4.000787030016766,7073.0,643354.0,15439571.0,7.0,0.3971612941836272,0.09484538847319442,HGST
3,HMS5C4040BLE640,4.000787030017025,9394.0,791613.0,18999207.0,12.0,0.5532862503156053,0.12596883632365166,HGST
4,HUH728080ALE600,8.00156322201599,45.0,4095.0,98282.0,0.0,0.0,0.0006034274680183442,HGST
5,HDS5C3030ALA630,3.000592982016203,4496.0,408956.0,9815355.0,4.0,0.35699167274133237,0.060289108804677236,Hitachi
6,HDS5C3030BLE630,3.0005929820159993,1.0,91.0,2185.0,0.0,0.0,1.3409499289296537e-05,Hitachi
7,HDS5C4040ALE630,4.000787030016,2631.0,239366.0,5744929.0,2.0,0.3049646044363647,0.03528039263013919,Hitachi
8,HDS722020ALA330,2.000398934015912,3723.0,161305.0,3811526.0,3.0,0.6894876225427821,0.04992356585405101,Hitachi
9,HDS723020BLA642,2.0003989340160007,6.0,255.0,6105.0,0.0,0.0,8.045699573577922e-05,Hitachi
10,HDS723030ALA640,3.00059298201598,990.0,89958.0,2159117.0,3.0,1.217164238899513,0.013275404296403573,Hitachi
11,HDS723030BLE640,3.000592982015999,9.0,819.0,19658.0,0.0,0.0,0.00012068549360366884,Hitachi
12,HDS724040ALE640,4.000787030016,3.0,273.0,6553.0,0.0,0.0,4.022849786788961e-05,Hitachi
13,HDT725025VLA380,0.25,1.0,91.0,2186.0,0.0,0.0,1.3409499289296537e-05,Hitachi
14,ST1000LM024 HN,1.000204886016,1.0,36.0,622.0,0.0,0.0,1.3409499289296537e-05,Seagate
15,ST2000VN000,2.000398934016,5.0,205.0,4903.0,0.0,0.0,6.704749644648269e-05,Seagate
16,ST250LM004 HN,0.2500593500159997,32.0,2848.0,68358.0,1.0,12.814886333713684,0.0004291039772574892,Seagate
17,ST31500541AS,1.5003019100160004,44.0,2911.0,64890.0,3.0,40.499306518724,0.0005900179687290477,Seagate
18,ST3160316AS,0.16004188569599978,51.0,3995.0,95846.0,0.0,0.0,0.0006838844637541234,Seagate
19,ST3160318AS,0.1600418856959998,40.0,2430.0,58250.0,0.0,0.0,0.0005363799715718615,Seagate
20,ST320LT007,0.3200729333760001,11.0,978.0,23738.0,1.0,36.902856179964616,0.00014750449218226192,Seagate
21,ST33000651AS,3.0005929820160016,1.0,71.0,1530.0,0.0,0.0,1.3409499289296537e-05,Seagate
22,ST3500320AS,0.5001078620160009,1.0,91.0,2185.0,0.0,0.0,1.3409499289296537e-05,Seagate
23,ST4000DM000,4.000787030016666,35022.0,3161269.0,75865688.0,278.0,3.209988684212552,0.46962748410974336,Seagate
24,ST4000DX000,4.000787030016,197.0,17691.0,424568.0,5.0,10.31636863823934,0.002641671359991418,Seagate
25,ST4000DX002,4.000787030016,2.0,182.0,4369.0,0.0,0.0,2.6818998578593075e-05,Seagate
26,ST500LM012 HN,0.5001078620160057,795.0,70762.0,1659477.0,0.0,0.0,0.010660551934990747,Seagate
